Status,Type,PaymentMethod,EntrantId,SOBHD,LocalAssoc#,LocalMember?,IsInsideMembershipBoundary?,CompetitorFirstName,CompetitorLastName,ParentName,Sex,Age,AgeOnCompetition,Year,Month,Day,HighlandScrutineerCode,HighlandScrutineerCodeHighlands,HighlandScrutineerCodeChampionship,HighlandScrutineerCodePremiership,TeacherName,GroupName,NumGroup,AvgAgeGroup,DuetPartner,TartanWorn,Email,Address,City,Province,PostalCode,PrimaryPhone,AlternativePhone,EventsTotal,Extras,AdditionalFields,TotalPaid,RegistrationDate,AgreedWaiver,AgreedPhotoWaiver,AgreedAdditionalWaiver,Paypal_trans_id,Paypal_email
Completed,Individual And Choreography,Paypal,22672,C-AB-4010N,0,0,0,Evie,MacLeod,,,15,,2007,03,05,N15,15,,,Scotia Dance Academy,,,,,,evie_macleod@gmail.com,7557 Mill Lane,Toronto,ON,M8Q 6E7,514.245.6269,,42.5,,,59,2022-12-20 21:04,Yes,No,No,IDH35B6DU6S0MKJG3,eviemacleod92@hotmail.com
Completed,Individual And Choreography,Paypal,29048,C.AB23.9018X,0,0,0,Charlie,Rodriguez,,,12,,2010,10,22,X12,12,,,Highland Spirit School,,,,,,charlierodriguez@shaw.ca,9344 Park Avenue,Brisbane,QLD,2568,563-599-9014,,42.5,,,4,2023-01-11 19:21,Yes,No,No,Y55CR6WE6PFWWQ9TP,charlierodriguez@yahoo.com
Completed,Individual And Choreography,Paypal,26212,C-AB-20-2024X,0,0,0,Freya,Scott,,,15,,2007,11,24,X15,15,,,Celtic Fire Academy,,,,,,freya.scott@shaw.ca,7147 Main Street,Brisbane,QLD,6568,716-719-2828,,42.5,,,111,2022-12-02 05:33,Yes,No,No,RARDRJ4XKS8HLCS8C,freya_scott@yahoo.com
Completed,Individual And Choreography,Paypal,20060,C-AB-22-2003N,0,0,0,Isabella,Lewis,,,10,,2012,08,16,N10,10,,,Caledonian Dance School,,,,,,isabella.lewis@hotmail.com,8358 Victoria Street,Montreal,QC,F4I 9G2,(933) 713-1864,,42.5,,,107,2023-02-01 11:31,Yes,No,No,BYFJ6WQZYO5GBK0PV,isabella_lewis39@hotmail.com
Completed,Individual And Choreography,Paypal,27754,CSK20-012X  (RENEWAL IS PENDING),0,0,0,Evie,Jones,,,16,,2006,04,24,X16,16,,,Dancing Thistle Academy,,,,,,evie.jones@gmail.com,7948 Manor Drive,Hamilton,Waikato,9263,436-760-6704,,45,,,137,2023-01-22 07:35,Yes,No,No,BL5M6IF6XZLMBTIAX,evie.jones@telus.net
Completed,Individual And Choreography,Paypal,26738,0000 SHE IS REGISTERED I DON'T HAVE THE CARD FOR 2023 YET,0,0,0,Euan,Green,,,7,,2015,09,13,B07,07,,,Celtic Fire Academy,,,,,,euan_green@shaw.ca,7289 Highland Drive,Saskatoon,SK,M6J 1F5,(213) 665-2290,,8.5,,,49,2023-02-20 06:41,Yes,No,No,I3NZ1TQBHXUH4BQXY,euan_green@hotmail.com
Completed,Individual And Choreography,Paypal,21573,C-AB-22-4009B,0,0,0,Liam,Scott,,,10,,2012,12,26,B10,10,,,Celtic Steps Studio,,,,,,liam_scott@outlook.com,1864 High Street,Vancouver,BC,D2U 7L9,525.810.2516,,42.5,,,109,2023-01-16 17:36,Yes,No,No,ZASFJRHXY6758ZB4D,liam.scott84@yahoo.com
Completed,Individual And Choreography,Paypal,25244,CSK22-016I,0,0,0,Mason,Torres,,,13,,2009,07,25,I13,13,,,Celtic Crown Academy,,,,,,mason.torres@gmail.com,3533 Park Avenue,Hobart,TAS,7664,757.459.5232,,42.5,,,117,2023-02-05 15:52,Yes,No,No,ZR68G3TID8B5Z2X2P,mason_torres93@hotmail.com
Completed,Individual And Choreography,Paypal,25253,C-MB-20-0599X,0,0,0,Henry,Stewart,,,14,,2008,02,28,X14,14,,,Heather Bell School,,,,,,henrystewart30@yahoo.com,9075 Mill Lane,Regina,SK,Y1G 5U1,328-740-7348,487-231-7568,42.5,,,111,2022-12-14 21:37,Yes,No,No,8R106GPWO9R5KD9BG,henrystewart10@yahoo.com
Completed,Individual And Choreography,Paypal,27250,CAB204029X,0,0,0,Megan,Grant,,,15,,2007,09,27,X15,15,,,Celtic Crown Academy,,,,,,megan_grant77@telus.net,9053 Cedar Close,Toronto,ON,L9H 6U0,7193023935,,42.5,,,91,2023-01-15 14:24,Yes,No,No,NZI359N19GXS29Z0G,megangrant88@gmail.com
Completed,Individual And Choreography,Paypal,24497,C-AB-21-4017B,0,0,0,Hannah,Scott,,,11,,2011,06,14,B11,11,,,Celtic Fire Academy,,,,,,hannah.scott@shaw.ca,3099 Main Street,Glasgow,Scotland,L94 9AJ,(272) 347-4836,9818821974,42.5,,,64,2023-01-11 08:09,Yes,No,No,78ZKCC423W81R4I1T,hannahscott@telus.net
Completed,Individual And Choreography,Paypal,23823,C.AB.22.9005I,0,0,0,Thomas,Nguyen,,,16,,2006,08,09,I16,16,,,Highland Spirit School,,,,,,thomas.nguyen@outlook.com,9061 Mill Lane,Sydney,NSW,8738,927.860.3093,,42.5,,,83,2023-01-26 03:11,Yes,No,No,DLNLSX601XWMO2JOH,thomas_nguyen@gmail.com
Completed,Individual And Choreography,Paypal,26456,CAB21903B,0,0,0,Ethan,Scott,,,10,,2012,02,26,B10,10,,,Highland Rose Studio,,,,,,ethan.scott30@gmail.com,9026 Birch Road,Stirling,Scotland,SW54 5AL,(894) 834-8586,,42.5,,,99,2023-02-05 18:07,Yes,No,No,KX8X9N567A1ACTGXB,ethan.scott@gmail.com
Completed,Individual And Choreography,Paypal,27282,C.AB.20.5005X,0,0,0,Ruby,Walker,,,21,,2001,12,08,X21,21,,,Celtic Steps Studio,,,,,,ruby.walker49@gmail.com,1672 Mill Lane,Stirling,Scotland,CF19 8AD,(784) 272-3510,,45,,,107,2023-01-17 17:57,Yes,No,No,TJKRHXQKMYQJHC5OU,ruby_walker39@yahoo.com
Completed,Individual And Choreography,Paypal,26036,CAB202008X,0,0,0,Noah,Duncan,,,12,,2010,09,10,X12,12,,,Caledonian Dance School,,,,,,noah_duncan@shaw.ca,2693 Manor Drive,Belfast,Northern Ireland,AB84 6AB,207.877.7499,,42.5,,,125,2023-01-23 03:19,Yes,No,No,ZOKVB2QS76ILLFESS,noah_duncan@gmail.com
Completed,Individual And Choreography,Paypal,27602,C.AB.21.9005X,0,0,0,Charlie,MacDonald,,,30,,1992,09,21,X30,30,,,Celtic Fire Academy,,,,,,charliemacdonald@yahoo.com,449 High Street,Sydney,NSW,2503,(345) 806-2474,,45,,,102,2023-02-23 11:57,Yes,No,No,K94RP46Z46JSRX7O6,charlie.macdonald@hotmail.com
Completed,Individual And Choreography,Paypal,24396,CAB229004B,0,0,0,Sophie,King,,,10,,2012,04,13,B10,10,,,Highland Spirit School,,,,,,sophie.king@telus.net,2110 Queen Street,Toronto,ON,F5Q 8T3,(426) 993-9893,,25.5,,,49,2022-12-02 16:50,Yes,No,No,9NDE93JJ1NCB3EITV,sophie.king@yahoo.com
Completed,Individual And Choreography,Paypal,29936,CBC210019B,0,0,0,Isabella,Clark,,,10,,2013,02,04,B10,10,,,Highland Fling Studio,,,,,,isabellaclark@hotmail.com,3868 High Street,Hobart,TAS,4038,2123414819,,42.5,,,89,2022-12-07 14:24,Yes,No,No,PLS9AQPBXYT3A3S6M,isabellaclark@hotmail.com
Completed,Individual And Choreography,Paypal,22906,CAB222001I,0,0,0,Mia,Young,,,15,,2008,01,04,I15,15,,,Highland Fling Studio,,,,,,miayoung@gmail.com,6767 Queen Street,Wellington,Wellington,3475,345.916.7165,,42.5,,,107,2022-12-14 17:59,Yes,No,No,632UHIV7OGP9620D3,mia.young66@gmail.com
Completed,Individual And Choreography,Paypal,28508,C-AB-22-2002I,0,0,0,Freya,Murray,,,16,,2006,05,17,X16,16,,,Highland Rose Studio,,,,,,freya.murray@gmail.com,9128 Main Street,Inverness,Scotland,M30 5AH,5070549152,8660468928,45,,,112,2023-01-16 10:54,Yes,No,No,H8IQ2NHOV7QJY0T0V,freya.murray@telus.net
Completed,Individual And Choreography,Paypal,27952,C.AB.21.9041B,0,0,0,Ava,Gonzalez,,,10,,2013,01,04,B10,10,,,Highland Fling Studio,,,,,,avagonzalez@shaw.ca,6235 Oak Street,Victoria,BC,W9F 4C0,(260) 748-3734,,42.5,,,99,2022-12-06 16:51,Yes,No,No,0TZRRFR4RGL1C78RN,avagonzalez55@outlook.com
Completed,Individual And Choreography,Paypal,22046,C-MB-21-0605N - NEW INT NUMBER PENDING,0,0,0,Benjamin,Gordon,,,11,,2011,09,16,I11,11,,,Highland Heritage School,,,,,,benjamin_gordon95@outlook.com,651 Station Road,Montreal,QC,L8V 4S7,(248) 863-7507,2770838973,42.5,,,112,2023-02-09 18:37,Yes,No,No,9CJC40VBPUCKR9CTC,benjamingordon@yahoo.com
Completed,Individual And Choreography,Paypal,25406,C AB 20 1005 I,0,0,0,Jacob,Grant,,,13,,2009,10,22,X13,13,,,Celtic Steps Studio,,,,,,jacob_grant@hotmail.com,4646 Main Street,Halifax,NS,L5K 3R5,909.445.6455,,42.5,,,40,2022-12-18 15:20,Yes,No,No,6COLCF2629QXE4JOO,jacob_grant86@yahoo.com
Completed,Individual And Choreography,Paypal,24019,C-AB-20-2004B,0,0,0,Daniel,Wright,,,10,,2012,08,09,B10,10,,,Highland Fling Studio,,,,,,daniel_wright@outlook.com,1007 Highland Drive,Regina,SK,U9W 9P3,301-750-1149,,42.5,,,109,2023-01-08 10:58,Yes,No,No,AEIUY8MTSH14WLR5W,daniel.wright@shaw.ca
Completed,Individual And Choreography,Paypal,21814,C.AB.16.0232I,0,0,0,Finlay,King,,,16,,2006,06,20,I16,16,,,Heather Bell School,,,,,,finlay.king24@gmail.com,925 King Street,Dunedin,Otago,6282,9535529539,710.461.3117,42.5,,,117,2023-02-23 13:14,Yes,No,No,HOXIEDCNQVOBKDJ27,finlayking@telus.net
Completed,Individual And Choreography,Paypal,21990,CAB222003X,0,0,0,Hamish,Ross,,,11,,2012,02,14,X11,11,,,Highland Dreams School,,,,,,hamishross57@telus.net,1719 Victoria Street,Auckland,Auckland,9541,482-834-8880,,42.5,,,110,2023-01-15 18:38,Yes,No,No,1IA3GYRQJDMH80PL7,hamish_ross@gmail.com
Completed,Individual And Choreography,Paypal,22233,CSK20-013X,0,0,0,Jacob,Wilson,,,16,,2006,12,21,X16,16,,,Celtic Fire Academy,,,,,,jacob.wilson@gmail.com,4328 Cedar Close,Winnipeg,MB,U4Y 4K6,(626) 385-6009,,45,,,127,2023-01-25 09:53,Yes,No,No,WVKO2W6MU9631CQWV,jacob.wilson@hotmail.com
Completed,Individual And Choreography,Paypal,22576,C-AB-23-5005X,0,0,0,Phoebe,Stewart,,,19,,2003,09,07,X19,19,,,Celtic Fire Academy,,,,,,phoebe.stewart34@shaw.ca,745 Main Street,Inverness,Scotland,CF9 4AL,7487460876,,45,,,56,2023-01-24 19:34,Yes,No,No,58ON2G68MA8KCP61K,phoebestewart6@shaw.ca
Completed,Individual And Choreography,Paypal,23540,ITS CURRENTLY BEING PROCESSED,0,0,0,Olivia,Hill,,,9,,2013,12,20,B09,09,,,Highland Heritage School,,,,,,olivia_hill@gmail.com,9339 Oak Street,Charlottetown,PE,M8U 0H3,(995) 626-9606,,34,,,112,2022-12-23 15:41,Yes,No,No,9X7NYQ6FPNWJW4X4X,olivia.hill@shaw.ca
Completed,Individual And Choreography,Paypal,25147,C AB 20 2004I,0,0,0,Evie,Green,,,16,,2006,05,24,I16,16,,,Caledonian Dance School,,,,,,eviegreen98@shaw.ca,2595 High Street,Melbourne,VIC,6149,9982813309,,42.5,,,59,2023-02-10 13:06,Yes,No,No,Z65W4W498R3EZOCI5,eviegreen16@telus.net
Completed,Individual And Choreography,Paypal,28714,000000,0,0,0,Ethan,Lewis,,,10,,2012,03,03,B10,10,,,Highland Fling Studio,,,,,,ethan_lewis16@telus.net,1107 Mill Lane,Ottawa,ON,K5Y 7X7,(271) 245-2528,,42.5,,,94,2023-01-30 14:21,Yes,No,No,YZPADF3UHZE3LV7IX,ethan.lewis@hotmail.com
Completed,Individual And Choreography,Paypal,27750,C-AB-20-2030X,0,0,0,Hamish,Young,,,13,,2009,09,25,X13,13,,,Highland Dance Academy,,,,,,hamishyoung41@telus.net,8224 Cedar Close,Saskatoon,SK,O4H 9K1,925.688.3659,,42.5,,,115,2023-01-07 12:55,Yes,No,No,OWW2V122N956SCFLR,hamishyoung@shaw.ca
Completed,Individual And Choreography,Paypal,21568,C AB 20 1003B,0,0,0,Lily,Wright,,,9,,2014,02,06,B09,09,,,Kilted Dancers Studio,,,,,,lily_wright82@shaw.ca,6062 Main Street,Wellington,Wellington,7629,(452) 887-6383,,42.5,,"{3._name_of_choreography"":""Gladiator"";""3._name_of_dance_school"":""Diamond V""}""",130,2023-01-26 03:47,Yes,No,No,JLBPJD3HFOSUF9377,lilywright@outlook.com
Completed,Individual And Choreography,Paypal,26839,CBC210128B,0,0,0,Hannah,Martin,,,11,,2011,05,09,B11,11,,,Dancing Thistle Academy,,,,,,hannahmartin35@shaw.ca,7704 Manor Drive,Halifax,NS,Q0G 2M3,(392) 444-4014,,42.5,,,75,2023-02-19 13:53,Yes,No,No,J2YJNNFC5F4W8NFYR,hannah.martin7@yahoo.com
Completed,Individual And Choreography,Paypal,20009,C-AB-22-2000B,0,0,0,Angus,Miller,,,10,,2012,11,24,B10,10,,,Celtic Steps Studio,,,,,,angus.miller@outlook.com,3939 Birch Road,Ottawa,ON,Z6C 7R0,5446645644,,42.5,,,99,2023-01-31 07:49,Yes,No,No,BEVW84GZ0MTZ2LI1S,angusmiller@telus.net
Completed,Individual And Choreography,Paypal,21052,CAB20403X,0,0,0,Henry,Adams,,,19,,2003,05,08,X19,19,,,Dancing Thistle Academy,,,,,,henry_adams@shaw.ca,7047 Park Avenue,Darwin,NT,5423,(675) 642-6513,,45,,,107,2023-02-18 08:47,Yes,No,No,GU3W1J61YB0FL02PI,henryadams39@yahoo.com
Completed,Individual And Choreography,Paypal,22207,C-AB-21-2009B,0,0,0,Freya,Jones,,,11,,2011,05,04,N11,11,,,Highland Rose Studio,,,,,,freya.jones@hotmail.com,5071 Manor Drive,Hamilton,Waikato,6262,820-920-9671,,42.5,,,112,2023-02-27 17:08,Yes,No,No,30TPX2PAB97KBUKJ9,freya_jones@hotmail.com
Completed,Individual And Choreography,Paypal,25084,CAB222004I,0,0,0,Fraser,Johnson,,,11,,2011,03,18,I11,11,,,Kilted Dancers Studio,,,,,,fraser_johnson@outlook.com,6687 King Street,Sydney,NSW,2667,(415) 321-6644,,42.5,,,83,2022-12-05 14:25,Yes,No,No,Z6KP3VMU2P86NCLLU,fraser.johnson@telus.net
Completed,Individual And Choreography,Paypal,20873,C-AB-20-2047X,0,0,0,Duncan,Thompson,,,13,,2009,06,13,X13,13,,,Kilted Dancers Studio,,,,,,duncan_thompson@outlook.com,3510 School Road,Manchester,England,G38 6AE,7462438459,,42.5,,,135,2023-01-22 02:29,Yes,No,No,S2AAN63Z0PIIPDZ5W,duncan.thompson75@telus.net
Completed,Individual And Choreography,Paypal,29438,C.AB.21.9051B,0,0,0,Euan,Lopez,,,12,,2010,04,20,B12,12,,,Bagpipe & Blade Academy,,,,,,euan.lopez@shaw.ca,7227 Pine Street,Christchurch,Canterbury,5840,(596) 992-3939,,42.5,,,109,2022-12-27 02:01,Yes,No,No,AS2OO2LZBJ4N95NZG,euan_lopez20@yahoo.com
Completed,Individual And Choreography,Paypal,27691,C-AB-20-4022X,0,0,0,Evie,Scott,,,17,,2005,11,20,X17,17,,,Highland Heritage School,,,,,,evie_scott@yahoo.com,1229 King Street,Hamilton,Waikato,7247,3543495364,,45,,,137,2022-12-26 00:55,Yes,No,No,0ZP0CRWMOZLM98YAA,evie_scott@hotmail.com
Completed,Individual And Choreography,Paypal,22638,C-AB-22-2010I,0,0,0,Evie,Fraser,,,12,,2010,03,12,I12,12,,,Bagpipe & Blade Academy,,,,,,evie.fraser@outlook.com,8521 Church Street,Calgary,AB,X6W 8R7,(753) 638-1984,,42.5,,,107,2022-12-01 11:37,Yes,No,No,VBK3OI08A238KEHFY,evie.fraser44@yahoo.com
Completed,Individual And Choreography,Paypal,25891,CAB202029X,0,0,0,James,Fraser,,,20,,2002,06,17,X20,20,,,Highland Dreams School,,,,,,jamesfraser@hotmail.com,2370 Manor Drive,Calgary,AB,I6J 4J4,469.447.1997,,45,,,117,2022-12-17 13:58,Yes,No,No,NM94L3RW8J8S145S6,james.fraser90@yahoo.com
Completed,Individual And Choreography,Paypal,21380,C-AB-22-2008I,0,0,0,Evie,MacPherson,,,10,,2012,04,07,I10,10,,,Caledonian Dance School,,,,,,eviemacpherson68@hotmail.com,9746 High Street,Leeds,England,B34 4AJ,5696829366,,42.5,,,107,2022-12-24 23:09,Yes,No,No,BL87QDNO92MGW9RW0,eviemacpherson@telus.net
Completed,Individual And Choreography,Paypal,25620,123456789,0,0,0,Harry,Young,,,12,,2010,10,27,B12,12,,,Highland Dreams School,,,,,,harry_young69@telus.net,6971 Cedar Close,Melbourne,VIC,5062,502-404-1072,,42.5,,,99,2022-12-14 19:51,Yes,No,No,NOEIDS4HFBXB51QV5,harry.young@outlook.com
Completed,Individual And Choreography,Paypal,24957,SENT IN - WAITING,0,0,0,Benjamin,Williams,,,9,,2013,06,29,B09,09,,,Highland Rose Studio,,,,,,benjaminwilliams19@gmail.com,1989 Mill Lane,Belfast,Northern Ireland,L92 9AF,323.929.1897,,42.5,,,89,2023-01-17 07:53,Yes,No,No,QPEWXFXGBFRMJYWZS,benjaminwilliams61@outlook.com
Completed,Individual And Choreography,Paypal,23305,C.AB.21.9006I,0,0,0,Emily,Lopez,,,15,,2008,02,07,X15,15,,,Celtic Fire Academy,,,,,,emily.lopez@yahoo.com,9541 Cedar Close,Newcastle,NSW,6224,(789) 955-1439,,42.5,,,45,2023-02-27 20:03,Yes,No,No,3MUDDHWGW8D5YQ9QL,emily.lopez54@telus.net
